,train_loss,img_loading_time,training_time,validation_loss,validation_time,epoch,epoch_time
0,5.4311041831970215,164.52961712368463,320.5099632740021,5.404060363769531,40.463001012802124,1,361.4799630641937
1,4.926329135894775,161.2606239803767,321.2751488685608,4.973381996154785,41.875998735427856,2,363.69414806365967
2,4.925576686859131,159.0402942592815,316.3261444568634,4.869838237762451,41.210997343063354,3,358.2161433696747
3,4.903616905212402,162.5247546575837,320.52342438697815,4.974789619445801,40.45400094985962,4,361.52942657470703
4,4.757409572601318,160.9068983651824,316.982186794281,4.942059516906738,40.02700114250183,5,357.7201850414276
5,4.8357720375061035,160.1448447259806,316.6856942176819,4.937459468841553,40.53899788856506,6,357.74368596076965
6,4.670599460601807,156.64975918753672,305.9748487472534,5.167462348937988,45.00700044631958,7,351.5258493423462
7,4.644106388092041,174.4947075197252,344.7868447303772,5.256717681884766,45.707000732421875,8,391.2878484725952
8,4.691385746002197,180.99658313444104,350.61413741111755,4.851053714752197,42.74699902534485,9,393.9061381816864
9,4.567303657531738,166.4192941350452,332.4418034553528,5.313928127288818,42.49599766731262,10,375.5438017845154
10,4.701618671417236,163.48297149448072,324.0614516735077,4.916551113128662,52.00999164581299,11,376.8824505805969
11,4.550654888153076,178.518541089559,353.88836908340454,4.932266712188721,46.537997245788574,12,401.1953682899475
12,4.557126522064209,171.47090640310515,346.2440197467804,4.95020866394043,45.137001514434814,13,392.2850193977356
13,4.4403181076049805,183.940657971269,362.9978711605072,5.017435550689697,42.82099890708923,14,406.44390749931335
14,4.506357192993164,173.76350966954635,353.88335156440735,5.067697048187256,56.02500009536743,15,410.7833504676819
15,4.488555908203125,197.8326888569331,364.8127691745758,5.198739051818848,43.05400061607361,16,408.4457724094391
16,4.296151161193848,164.75529064970502,323.15775537490845,4.897110939025879,42.0719997882843,17,365.9887557029724
17,4.228909969329834,169.0562119807227,334.8962540626526,4.698407173156738,41.98399901390076,18,377.6012554168701
18,4.149220943450928,163.4064472974357,326.271057844162,5.0161237716674805,45.43900275230408,19,372.71505880355835
19,4.045876979827881,196.1061209096747,373.5732545852661,4.718112945556641,47.95599842071533,20,422.2942521572113
20,3.915637969970703,187.6993822202844,367.9593343734741,5.006062030792236,45.053999185562134,21,413.7353346347809
21,4.268187522888184,177.47320022421368,355.1473979949951,4.750621318817139,46.242000102996826,22,402.0373959541321
22,4.0948638916015625,176.6375056080899,351.0239884853363,4.82037353515625,41.515971183776855,23,393.23296308517456
23,4.015869140625,174.1212383043968,354.0342450141907,4.806519031524658,47.47699975967407,24,402.2282474040985
24,4.080255508422852,179.61278822462438,355.4497420787811,4.958822727203369,50.17399549484253,25,406.22574162483215
