,train_loss,img_loading_time,training_time,validation_loss,validation_time,epoch,epoch_time
0,4.170986175537109,160.31934920812057,289.03017234802246,3.940392255783081,43.637998819351196,1,332.717173576355
1,3.6530447006225586,131.4439835002867,259.47500348091125,4.022047519683838,38.86499738693237,2,298.382999420166
2,3.644500732421875,127.66110846955897,252.11099910736084,4.017674446105957,38.175999879837036,3,290.3409974575043
3,3.393354654312134,128.04437307584084,253.20500016212463,3.9716081619262695,38.50000047683716,4,291.750999212265
4,3.504574775695801,122.33245785559637,235.71599960327148,3.9884626865386963,34.504000425338745,5,270.2590003013611
5,3.3283729553222656,114.36789832276813,225.78200006484985,4.02993106842041,34.333001136779785,6,260.1569995880127
6,3.5070276260375977,114.2784835120379,225.6540024280548,3.901266574859619,37.51399827003479,7,263.2049996852875
7,3.524799108505249,126.19622068081873,248.6600000858307,4.187282562255859,37.82700037956238,8,286.5280005931854
8,3.5021626949310303,124.7642710148278,246.8939995765686,4.171066761016846,37.62699890136719,9,284.56399965286255
9,3.5124897956848145,126.09889856435485,249.66499972343445,4.160452842712402,37.80699896812439,10,287.532999753952
10,3.4431862831115723,124.39015294939784,242.3670003414154,4.385852336883545,35.36299967765808,11,277.78200006484985
11,3.497831344604492,115.44632255222838,228.4460005760193,4.131693363189697,34.84499955177307,12,263.3340001106262
12,3.2262001037597656,115.30320380097729,228.003000497818,4.26138973236084,34.6279981136322,13,262.66999983787537
13,3.3478219509124756,115.70965314921686,228.2149999141693,4.182534217834473,39.3629994392395,14,267.62100052833557
14,3.2747859954833984,133.25727120092358,248.56799983978271,4.068631172180176,34.58399987220764,15,283.18399953842163
15,3.104381799697876,114.96375379724017,227.54800009727478,4.506434917449951,34.70299983024597,16,262.2869987487793
16,3.1064414978027344,115.12061936976546,227.49500131607056,4.542068004608154,35.28999972343445,17,262.8280007839203
17,3.1257498264312744,115.23005076990289,227.80599927902222,4.278791904449463,34.78800010681152,18,262.6389992237091
18,3.24639892578125,115.18661883725959,227.67100024223328,4.441847801208496,34.71599864959717,19,262.4249997138977
19,3.1360244750976562,115.460161748579,228.0860002040863,4.396349906921387,34.80799865722656,20,262.94100046157837
20,3.188873767852783,120.39587293034893,241.22800040245056,4.2292070388793945,37.61799883842468,21,278.8919997215271
21,3.2662954330444336,132.52276192479215,261.02784872055054,4.309312343597412,40.7723171710968,22,301.8401641845703
22,3.2614712715148926,130.8980555999077,263.84481501579285,4.435832500457764,40.010000467300415,23,303.91381454467773
23,3.28554368019104,147.428150437646,291.84112095832825,4.408125400543213,44.09900212287903,24,335.9741213321686
24,3.0992274284362793,148.6477057469093,287.1150221824646,4.272875785827637,41.49299931526184,25,328.6430230140686
