,train_loss,img_loading_time,training_time,validation_loss,validation_time,epoch,epoch_time
0,4.980761528015137,142.22281318195795,274.9485909938812,4.881679534912109,40.626999855041504,1,315.6375916004181
1,4.702916622161865,136.95495448880277,281.5270290374756,4.73424768447876,47.00799798965454,2,328.57802963256836
2,4.440971374511719,145.20372075347578,279.9460005760193,4.526108741760254,37.890000104904175,3,317.88199973106384
3,4.495654106140137,141.98539522138694,297.3930461406708,4.325891017913818,45.926995038986206,4,343.36204743385315
4,4.451359748840332,147.10526026709604,287.0491364002228,4.585821151733398,42.19299864768982,5,329.2871358394623
5,4.48807954788208,142.81140733977495,278.30599999427795,4.398952960968018,42.9189989566803,6,321.2720010280609
6,4.283139705657959,140.58723684690767,273.6669991016388,4.421854019165039,42.07299995422363,7,315.7789990901947
7,4.394277095794678,136.70468582137156,266.2449994087219,4.360915660858154,40.06399989128113,8,306.34700083732605
8,4.553028583526611,130.66390560037,259.10499906539917,4.358916282653809,39.48699975013733,9,298.6319990158081
9,4.282857418060303,131.28695837724007,260.47900199890137,4.484873294830322,39.43499994277954,10,299.96200132369995
10,4.56068754196167,130.71440709647484,258.8889994621277,4.551595687866211,40.035001277923584,11,298.9649999141693
11,4.437485694885254,131.03694112826201,259.5260000228882,4.455802917480469,40.06700158119202,12,299.6529998779297
12,4.3572187423706055,130.41833777750952,258.211998462677,4.191880702972412,39.7069993019104,13,297.97599840164185
13,4.3258867263793945,131.55892324447632,259.4210011959076,4.330509662628174,39.9490008354187,14,299.4070007801056
14,4.027434349060059,130.57558507636443,258.6690001487732,4.3690385818481445,40.64100003242493,15,299.3570017814636
15,4.340980052947998,136.6016446978359,267.9962091445923,4.5487189292907715,40.34700083732605,16,308.38420844078064
16,4.359535217285156,131.17291300983752,257.3839976787567,4.428479194641113,38.00399994850159,17,295.42499804496765
17,4.346960067749023,126.39761796846228,252.10399961471558,4.530926704406738,38.698001861572266,18,290.8439984321594
18,4.340453147888184,129.04537393278994,254.52800059318542,4.314059257507324,38.83000111579895,19,293.4210000038147
19,4.1925201416015625,128.39546456579436,260.8494164943695,4.363443374633789,44.81922483444214,20,305.721640586853
20,,150.5731741533441,298.8372554779053,,49.30700087547302,21,348.20525550842285
21,,145.81092388549092,279.78153133392334,,40.99200129508972,22,320.8265311717987
22,,134.14563715053816,266.2650010585785,,41.24300265312195,23,307.54900097846985
23,,135.38258482440042,267.6309995651245,,41.492999792099,24,309.1639986038208
24,,134.745620190087,267.31700134277344,,41.307997703552246,25,308.67900133132935
